"","154_","176_","189_","182_","195_","199_","190_","197_","200_","201_","108_","139_","164_","148_","173_","187_","165_","184_","188_","196_"
"154_",1,0.49577920955153,-0.190853409367117,0.807904187098949,-0.250602941555811,-0.000981316939772909,0.0624628994371218,-0.04807600919341,-0.0384657423067224,-0.0720951123825157,0.188627553185501,-0.102816190344645,0.112408854439048,-0.257654647604231,-0.0595352697531406,0.00962434717017407,-0.0697633944403933,-0.00118060020105642,-0.0730036062811525,0.117749920410601
"176_",0.49577920955153,1,0.693071696607803,-0.487445132255944,0.547022933505731,-0.308652676385999,0.540909251779105,-0.27014191285648,-0.1240643544966,-0.0520603117772289,-0.0631359695733895,0.0767567571961729,-0.00681439462091225,0.0855161787221776,-0.093228930457033,0.013600858735443,0.0223551149220068,-0.0757720630196299,0.0163376621223017,0.0120503566380353
"189_",-0.190853409367117,0.693071696607803,1,0.224107963421362,-0.433505261997335,0.570099763529542,-0.314982943263476,0.610487971413489,-0.100324848589634,-0.174334904131073,0.0341392015158325,0.0226784628968067,0.224380755119722,0.000652509547961233,-0.124515387065055,-0.000456738561555014,-0.0372484270421351,-0.240557100075842,0.0500300972386201,0.0391838023066663
"182_",0.807904187098949,-0.487445132255944,0.224107963421362,1,0.446232868964948,-0.145408253580411,0.00755002831355848,-0.045485964934559,0.0915528419646842,-0.0175421419982938,-0.0748601219549465,-0.0363210770628649,-0.0131303951453617,0.257828168198827,-0.0317426656020992,0.0280158275518388,-0.000267639095926495,-0.0488643417234275,-0.00793166296526462,-0.0554621817022174
"195_",-0.250602941555811,0.54702293350573,-0.433505261997335,0.446232868964948,1,0.677514752448531,-0.0564596102501639,-0.0193567895007097,0.0806734544598243,0.0354202624325701,0.0198777199632788,-0.00605487811786369,-0.121238978945349,-0.0572770923903892,0.174179638030051,-0.044455187014295,0.0241813283050019,-0.0471374874645465,0.0478044284702887,-0.13075752639687
"199_",-0.000981316939774073,-0.308652676385999,0.570099763529541,-0.145408253580411,0.67751475244853,1,-0.143235661293909,-0.0841393957618597,0.193039099321893,0.283921364340953,-0.0541110148995627,-0.0465705500728047,0.0700814700592428,-0.0904969393466349,0.0718568052050431,0.0737376937243123,-0.149230751923984,-0.00654117626929081,-0.0376588720518073,-0.0138978176294104
"190_",0.0624628994371219,0.540909251779105,-0.314982943263477,0.00755002831355817,-0.0564596102501636,-0.143235661293909,1,0.43729328538177,0.392680681805358,0.0123119102258817,0.0379901497743408,0.0456255229667473,-0.163327803040384,-0.0604104052455138,0.0349331949077648,-0.030358619087621,0.108395446695433,0.0907664310038384,-0.120481479856584,-0.0859976857722542
"197_",-0.0480760091934093,-0.27014191285648,0.610487971413488,-0.0454859649345593,-0.0193567895007093,-0.0841393957618597,0.43729328538177,1,0.0468131347171504,0.293069913916812,-0.065279336752421,-0.0671400097499317,-0.138214543771421,0.00935197977599844,-0.0227610578180901,-0.132911635393693,0.0770157407838789,0.387551894162505,-0.114128063795294,-0.0578003828690874
"200_",-0.0384657423067221,-0.1240643544966,-0.100324848589635,0.0915528419646841,0.0806734544598239,0.193039099321893,0.392680681805358,0.0468131347171503,1,0.28986879050156,0.0273944886159199,0.0331641655963522,-0.0568000522731497,0.0382334816690677,-0.0950079564791383,0.00453821865712872,-0.00618421165374603,-0.00753409270039862,0.00982046043174298,0.065862113549292
"201_",-0.0720951123825155,-0.0520603117772285,-0.174334904131073,-0.0175421419982941,0.0354202624325695,0.283921364340953,0.0123119102258815,0.293069913916812,0.289868790501558,1,-0.00327700573919584,-0.0443081206661921,0.00187493488865221,-0.0149684569853777,-0.000151503176775778,0.0541570613791144,-0.0369110109727321,-0.00353757957637736,0.0596118725130307,0.104256333601491
"108_",0.188627553185501,-0.0631359695733894,0.0341392015158327,-0.0748601219549462,0.0198777199632784,-0.0541110148995625,0.0379901497743408,-0.0652793367524216,0.02739448861592,-0.00327700573919543,1,0.616646843263498,-0.14298702076724,0.596507460433874,-0.127120042095325,-0.107688636685324,0.0635965377477669,-0.0252791245144055,0.0103292803798805,-0.0135771801873569
"139_",-0.102816190344645,0.0767567571961729,0.0226784628968064,-0.0363210770628643,-0.00605487811786325,-0.0465705500728047,0.0456255229667474,-0.0671400097499318,0.033164165596352,-0.0443081206661924,0.616646843263499,1,0.488374003064771,-0.211815191530553,0.383112650204807,-0.137470874377037,0.0958945761258474,-0.0211364053751014,-0.0384627148964364,-0.0530818990332137
"164_",0.112408854439049,-0.00681439462091221,0.224380755119722,-0.0131303951453617,-0.121238978945349,0.0700814700592424,-0.163327803040384,-0.138214543771421,-0.0568000522731489,0.00187493488865192,-0.14298702076724,0.488374003064772,1,-0.0932579557711376,0.0920424034283227,0.213435155411881,-0.0530863092360842,0.618870908036092,-0.193902674744035,-0.0369867110978591
"148_",-0.257654647604232,0.0855161787221778,0.000652509547961127,0.257828168198826,-0.0572770923903898,-0.0904969393466343,-0.0604104052455142,0.00935197977599797,0.0382334816690683,-0.0149684569853774,0.596507460433874,-0.211815191530553,-0.0932579557711375,1,0.443481418387305,0.0760047156059291,-0.0381672145637025,-0.0344083247777435,0.00495376433829807,-0.0308747476348726
"173_",-0.0595352697531403,-0.0932289304570332,-0.124515387065055,-0.0317426656020992,0.174179638030051,0.0718568052050436,0.0349331949077646,-0.0227610578180896,-0.0950079564791376,-0.000151503176775769,-0.127120042095325,0.383112650204808,0.0920424034283225,0.443481418387304,1,0.265781249358053,-0.00332785348186384,0.0356050470053231,-0.0194590520657087,-0.0700075617020395
"187_",0.00962434717017341,0.0136008587354428,-0.000456738561554737,0.0280158275518386,-0.0444551870142958,0.0737376937243121,-0.0303586190876206,-0.132911635393693,0.00453821865712841,0.0541570613791148,-0.107688636685323,-0.137470874377037,0.213435155411881,0.07600471560593,0.265781249358053,1,0.106212205154412,0.05291844700777,0.047597164406731,0.242477565926146
"165_",-0.0697633944403939,0.0223551149220071,-0.037248427042135,-0.000267639095928085,0.0241813283050024,-0.149230751923983,0.108395446695432,0.0770157407838774,-0.00618421165374762,-0.0369110109727345,0.0635965377477678,0.0958945761258481,-0.0530863092360838,-0.0381672145637014,-0.00332785348186398,0.106212205154411,1,0.045646521754917,0.317402992238886,0.169132537829452
"184_",-0.00118060020105618,-0.0757720630196298,-0.240557100075842,-0.0488643417234271,-0.0471374874645461,-0.00654117626929113,0.0907664310038388,0.387551894162505,-0.00753409270039907,-0.00353757957637725,-0.025279124514405,-0.0211364053751016,0.618870908036092,-0.0344083247777435,0.0356050470053235,0.0529184470077709,0.0456465217549182,1,0.153492702540723,0.00281679280603849
"188_",-0.0730036062811527,0.0163376621223015,0.050030097238621,-0.00793166296526433,0.0478044284702898,-0.0376588720518063,-0.120481479856584,-0.114128063795294,0.00982046043174275,0.05961187251303,0.0103292803798807,-0.0384627148964366,-0.193902674744035,0.00495376433829859,-0.0194590520657093,0.0475971644067307,0.317402992238885,0.153492702540723,1,0.277103665522727
"196_",0.117749920410602,0.012050356638036,0.0391838023066661,-0.0554621817022167,-0.130757526396871,-0.0138978176294107,-0.0859976857722537,-0.0578003828690874,0.0658621135492932,0.104256333601491,-0.0135771801873584,-0.053081899033214,-0.036986711097859,-0.0308747476348709,-0.0700075617020398,0.242477565926147,0.16913253782945,0.00281679280603861,0.277103665522725,1
